Filename,Label,Contrast_0,Dissimilarity_0,Homogeneity_0,Energy_0,Correlation_0,ASM_0,Entropy_0,Contrast_45,Dissimilarity_45,Homogeneity_45,Energy_45,Correlation_45,ASM_45,Entropy_45,Contrast_90,Dissimilarity_90,Homogeneity_90,Energy_90,Correlation_90,ASM_90,Entropy_90,Contrast_135,Dissimilarity_135,Homogeneity_135,Energy_135,Correlation_135,ASM_135,Entropy_135
20211231_123341 (Custom).jpg,Healthy,974.1796875,3.8203125,0.9850186127472089,0.7038990100269295,0.9694108504393352,0.49547381631689136,0.7605293439646041,1219.0000000000002,4.780392156862746,0.9812536523851998,0.7012669446444905,0.9617282402339014,0.49177532765101883,0.7758658658021153,508.0078125,1.9921875,0.9921876201442499,0.7087593105595019,0.9840531535644189,0.5023397603047806,0.7286298454192903,937.0,3.674509803921569,0.9855903792329223,0.7042501887760698,0.970581920507929,0.4959683283911299,0.7581926346408105
20211231_123253 (Custom).jpg,Healthy,924.375,3.625,0.9857845323409098,0.7069825126487929,0.9707593711925662,0.4998242731912005,0.7536216468301676,897.0,3.5176470588235293,0.9862055177928828,0.7071140782322594,0.9716383391384693,0.5000103196342578,0.7520651571289554,745.078125,2.921875,0.9885418428782333,0.7086334648221946,0.9764479737408612,0.5021613874659085,0.7420390855072716,1411.0,5.533333333333333,0.9783009872973889,0.7017023839346757,0.9553865067161432,0.4923862356196069,0.783744681491873
20211231_161753 (Custom).jpg,Healthy,888.515625,3.484375,0.9863359944483745,0.709662874093155,0.9717039044236113,0.5036213948661572,0.7479389477237359,1070.0,4.196078431372549,0.9835450435210531,0.7076451647452691,0.9659350436069337,0.500761679187359,0.7597179840603194,699.2578125,2.7421875,0.9892464889044383,0.7115811547456015,0.9777363151903975,0.5063477397890835,0.7353127798034241,1171.0,4.592156862745099,0.9819918186571526,0.706582712787108,0.962719784906117,0.49925913000958877,0.7659744247987866
20211231_161523 (Custom).jpg,Healthy,600.64453125,2.35546875,0.9907630096999662,0.7038304466154639,0.9813568618214399,0.49537729758292337,0.7410346968950074,894.0,3.5058823529411764,0.98625165318488,0.700717605013055,0.9722495385900152,0.4910051619752318,0.7611028062159615,515.9765625,2.0234375,0.992065073009258,0.7049630392342997,0.9839746169378999,0.4969728866864608,0.7345364874055863,604.0,2.368627450980392,0.9907114077445944,0.7038197516879606,0.9812513661167441,0.4953622428661026,0.741239530574683
20211231_161506 (Custom).jpg,Healthy,1175.390625,4.609375,0.9819242975886568,0.6997163910520711,0.9633085079056527,0.4896030279069349,0.7760940399063657,1454.0,5.701960784313726,0.9776397133454311,0.6966975159672155,0.9546209181965564,0.48538742875488855,0.7928037677583231,664.39453125,2.60546875,0.989782632620029,0.7052803902744013,0.9792523437359779,0.4974204289056118,0.7425149377086107,1317.0,5.1647058823529415,0.9797465629132962,0.6981449555557196,0.958896509405828,0.48740637896789774,0.7847536721355756
20211231_161454 (Custom).jpg,Healthy,686.30859375,2.69140625,0.9894456279988004,0.7081730933474628,0.9783739712653635,0.5015091301413143,0.7395522042655807,1255.0,4.921568627450981,0.9807000276812352,0.7021442123761472,0.9604555950309989,0.4930064949733201,0.7762304597189662,992.109375,3.890625,0.9847428816934765,0.7048789907913324,0.9687426854785254,0.49685439165900736,0.7599916246951404,1257.0,4.929411764705883,0.9806692707532371,0.7021197721162623,0.9603929616378403,0.4929721743965922,0.7763557535737295
20211231_124012 (Custom).jpg,Healthy,486.09375,1.90625,0.9925246247654784,0.7071647733076035,0.9848212896568099,0.5000820166071943,0.7296181706503382,872.0,3.419607843137255,0.9865899793928581,0.7029008508677823,0.9727821660173646,0.4940696061506524,0.7568706322932046,636.50390625,2.49609375,0.9902115475925015,0.7053724496729056,0.9801350269817785,0.4975502927575557,0.7408422492938116,768.0,3.011764705882353,0.988189339648756,0.7040089863114046,0.9760283297033671,0.4956286528072116,0.749907456559373
20211231_161021 (Custom).jpg,Healthy,1799.94140625,7.05859375,0.9723196658836465,0.6932859207653558,0.943788574513227,0.4806453679314671,0.8119366358930518,1713.0,6.7176470588235295,0.973656691169686,0.6938970976905385,0.9465489809993227,0.4814931821833528,0.8075856971528902,1565.859375,6.140625,0.9759194879740412,0.6956102224127637,0.9511172563776648,0.4838735815251346,0.7990930774866941,2567.0,10.066666666666666,0.9605234829145266,0.6849994335948555,0.9199014794076249,0.46922422402527286,0.8519702392078329
20211231_161832 (Custom).jpg,Healthy,760.01953125,2.98046875,0.9883120670001231,0.7025257144386038,0.9763831719233356,0.4935423794474707,0.7516061521883971,941.0,3.6901960784313728,0.9855288653769263,0.7006103383935977,0.9707580360766126,0.49085484626399134,0.7636068937670382,624.55078125,2.44921875,0.9903953682949898,0.7040904942141304,0.9805863669424107,0.49574342404269844,0.7420081919104915,955.0,3.7450980392156863,0.9853135668809399,0.7004611496939419,0.9703229802902923,0.4906458222305589,0.7645129264176869
20211231_154939 (Custom).jpg,Healthy,1624.62890625,6.37109375,0.975015702853474,0.6988498190005455,0.9487229160827606,0.4883910695170953,0.7968605197137053,2359.0,9.250980392156864,0.9637222034263219,0.6911693211877961,0.9255557930096031,0.4777150305511988,0.8358627626400158,1604.70703125,6.29296875,0.9753220706909544,0.6988043810095003,0.9493885366285855,0.4883275629180709,0.7961070364666413,2111.0000000000005,8.278431372549022,0.9675360624980778,0.6937339323726852,0.9333820597894329,0.4812667689252693,0.8231918474639373
20211231_154948 (Custom).jpg,Healthy,1420.4296875,5.5703125,0.978155973187648,0.6983480328000842,0.95550528283329,0.4876899749157475,0.7889910750638383,1786.0,7.003921568627451,0.9725340632977579,0.6945127329788439,0.9440535438358664,0.48234793626974287,0.8096229822563783,1200.29296875,4.70703125,0.9815413377918063,0.7004732353539672,0.9624221684581092,0.4906627534472543,0.7761531383127356,1959.0,7.682352941176471,0.969873589025928,0.6927038174792196,0.9386345769805945,0.47983857875028396,0.8189607052323086
